Time,Seconds,Minutes,Days,,Bin 2,Bin 3,Bin 4,Bin 2,Bin 3,Bin 4,Bin 2,Bin 3,Bin 4
131040,,5.09171674341608E+017,,,,,,3.11624176486301E+017,9.22469885784387E+016,898809255548907,,,
131328,5.11764853567772E+017,,,,3.13140930914716E+017,9.28676440670877E+016,899332474251226,,,,,,
132720,,5.09730040003343E+017,,,,,,3.11722907670761E+017,9.22488128408352E+016,898809260041854,,,
133056,5.12337757625811E+017,,,,3.13242255861767E+017,9.28695196045417E+016,899332478743906,,,,,,
134400,,5.10278199975105E+017,,,,,,3.11820012974759E+017,9.22506317801851E+016,898809263672704,,,
134784,5.12899914579087E+017,,,,3.13341873318361E+017,9.2871389826859E+016,899332482352510,,,,,,
136080,,5.10816471155617E+017,,,,,,3.11915571862971E+017,9.22524473328036E+016,898809266606876,,,
136512,5.134516672631E+017,,,,3.1343986907834E+017,9.28732568001713E+016,899332485251005,,,,,,
137760,,5.11345159193469E+017,,,,,,3.12009660018534E+017,9.22542612119036E+016,898809268978044,,,
138240,5.13993346013041E+017,,,,3.13536324742876E+017,9.28751223458717E+016,899332487579129,,,,,,
139440,,5.11864558944533E+017,,,,,,3.12102349541261E+017,9.22560749318566E+016,898809270894239,,,
139968,5.14525269185301E+017,,,,3.13631317945914E+017,9.28769880679435E+016,899332489449121,,,,,,
141120,,5.12374954906628E+017,,,,,,3.12193709133587E+017,9.22578898298167E+016,898809272442758,,,
141696,5.15047743652397E+017,,,,3.13724922565306E+017,9.28788553772417E+016,899332490951132,,,,,,
142800,,5.12876621632898E+017,,,,,,3.1228380427516E+017,9.22597070849976E+016,898809273694151,,,
143424,5.15561065273088E+017,,,,3.13817208920746E+017,9.2880725513068E+016,899332492157575,,,,,,
144480,,5.13369824125285E+017,,,,,,3.12372697386934E+017,9.22615277358587E+016,898809274705429,,,
145152,5.16065519339314E+017,,,,3.13908243959513E+017,9.28825995623412E+016,899332493126612,,,,,,
146160,,5.13854818209325E+017,,,,,,3.12460447985508E+017,9.22633526954263E+016,898809275522666,,,
146880,5.16561381001409E+017,,,,3.13998091430914E+017,9.28844784766346E+016,899332493904961,,,,,,
147840,,5.14331850891407E+017,,,,,,3.12547112828433E+017,9.22651827649558E+016,898809276183093,,,
148608,5.17048915672975E+017,,,,3.14086812050275E+017,9.28863630873167E+016,899332494530146,,,,,,
149520,,5.14801160699555E+017,,,,,,3.12632746051105E+017,9.22670186461125E+016,898809276716799,,,
150336,5.17528379416632E+017,,,,3.14174463653223E+017,9.28882541190075E+016,899332495032305,,,,,,
151200,,5.15262978008693E+017,,,,,,3.12717399295852E+017,9.2268860951834E+016,898809277148098,,,
152064,5.18000019311816E+017,,,,3.14261101340957E+017,9.28901522015393E+016,899332495435647,,,,,,
152880,,5.15717525351298E+017,,,,,,3.12801121833722E+017,9.22707102160168E+016,898809277496641,,,
153792,5.18464073805659E+017,,,,3.14346777617137E+017,9.28920578805873E+016,899332495759619,,,,,,
154560,,5.16165017714245E+017,,,,,,3.12883960679504E+017,9.22725669021538E+016,898809277778306,,,
155520,5.18920773047945E+017,,,,3.14431542516969E+017,9.28939716271193E+016,899332496019839,,,,,,
156240,,5.16605662822641E+017,,,,,,3.12965960700393E+017,9.22744314110384E+016,898809278005926,,,
157248,5.19370339211026E+017,,,,3.14515443729019E+017,9.28958938457952E+016,899332496228853,,,,,,
157920,,5.17039661411333E+017,,,,,,3.13047164718744E+017,9.22763040876341E+016,898809278189870,,,
158976,5.19812986795552E+017,,,,3.14598526710244E+017,9.28978248824337E+016,899332496396736,,,,,,
159600,,5.17467207484756E+017,,,,,,3.13127613609282E+017,9.22781852272018E+016,898809278338520,,,
160704,5.20248922922771E+017,,,,3.14680834794684E+017,9.28997650306501E+016,899332496531584,,,,,,
161280,,5.17888488565751E+017,,,,,,3.1320734639114E+017,9.22800750807643E+016,898809278458647,,,
162432,5.20678347614138E+017,,,,3.14762409296232E+017,9.2901714537756E+016,899332496639895,,,,,,
162960,,5.18303685933904E+017,,,,,,3.1328640031502E+017,9.22819738599799E+016,898809278555725,,,
164160,5.21101454058892E+017,,,,3.14843289605851E+017,9.29036736100051E+016,899332496726894,,,,,,
164640,,5.18712974853953E+017,,,,,,3.13364810945812E+017,9.22838817414889E+016,898809278634175,,,
165888,5.21518428870234E+017,,,,3.14923513283613E+017,9.29056424172557E+016,899332496796772,,,,,,
166320,,5.19116524794761E+017,,,,,,3.1344261224093E+017,9.22857988707904E+016,898809278697573,,,
167616,5.21929452330682E+017,,,,3.1500311614585E+017,9.29076210971158E+016,899332496852900,,,,,,
168000,,5.19514499639324E+017,,,,,,3.13519836624625E+017,9.22877253657001E+016,898809278748806,,,
169344,5.22334698627164E+017,,,,3.15082132347751E+017,9.29096097586282E+016,899332496897982,,,,,,
169680,,5.19907057886242E+017,,,,,,3.13596515058525E+017,9.22896613194333E+016,898809278790208,,,
171072,5.22734336076332E+017,,,,3.15160594461655E+017,9.29116084855458E+016,899332496934194,,,,,,
171360,,5.20294352843083E+017,,,,,,3.13672677108609E+017,9.22916068033558E+016,898809278823667,,,
172800,5.23128527340618E+017,,,,3.15238533551313E+017,9.29136173392434E+016,899332496963279,,,,,,
172800,,,8.42043106648435E+016,1.44577062111856,,,,,,,1.75640571278857E+016,489860601300277,74577559631.4006
173040,,5.20676532812008E+017,,,,,,3.1374835100884E+017,9.22935618694362E+016,898809278850705,,,
174528,5.23517429635439E+017,,,,3.15315979242356E+017,9.29156363613066E+016,899332496986641,,,,,,
174720,,5.21053741268031E+017,,,,,,3.13823563721629E+017,9.22955265524335E+016,898809278872555,,,
176256,5.23901194928001E+017,,,,3.15392959789188E+017,9.29176655758317E+016,899332497005406,,,,,,
176400,,5.21426117030248E+017,,,,,,3.1389834099533E+017,9.2297500871848E+016,898809278890213,,,
177984,5.24279970128094E+017,,,,3.15469502138506E+017,9.29197049914726E+016,899332497020478,,,,,,
178080,,5.21793794426369E+017,,,,,,3.13972707418917E+017,9.22994848336608E+016,898809278904483,,,
179712,5.24653897271234E+017,,,,3.15545631989655E+017,9.29217546032553E+016,899332497032584,,,,,,
179760,,5.22156903450846E+017,,,,,,3.14046686474006E+017,9.23014784318849E+016,898809278916015,,,
181440,5.25023113694545E+017,,,,3.15621373851977E+017,9.29238143941981E+016,899332497042308,,,,,,
181440,,5.2251556991688E+017,,,,,,3.14120300584371E+017,9.2303481649949E+016,898809278925334,,,
183120,,5.22869915602601E+017,,,,,,3.14193571163079E+017,9.23054944619309E+016,898809278932864,,,
183168,5.25387752205664E+017,,,,3.15696751099342E+017,9.2925884336744E+016,899332497050119,,,,,,
184800,,5.23220058391651E+017,,,,,,3.14266518657389E+017,9.23075168336568E+016,898809278938950,,,
184896,5.25747941245015E+017,,,,3.15771786021997E+017,9.29279643940371E+016,899332497056392,,,,,,
186480,,5.23566112408426E+017,,,,,,3.14339162591515E+017,9.23095487236822E+016,898809278943868,,,
186624,5.26103805041745E+017,,,,3.15846499875901E+017,9.29300545210571E+016,899332497061431,,,,,,
188160,,5.23908188148209E+017,,,,,,3.14411521607382E+017,9.23115900841658E+016,898809278947843,,,
188352,5.2645546376361E+017,,,,3.15920912929663E+017,9.29321546656289E+016,899332497065479,,,,,,
189840,,5.24246392602407E+017,,,,,,3.14483613503468E+017,9.23136408616487E+016,898809278951054,,,
190080,5.26803033661037E+017,,,,3.15995044509222E+017,9.29342647693149E+016,899332497068730,,,,,,
191520,,5.24580829379096E+017,,,,,,3.14555455271841E+017,9.23157009977489E+016,898809278953650,,,
191808,5.27146627205664E+017,,,,3.16068913040392E+017,9.2936384768211E+016,899332497071342,,,,,,
193200,,5.24911598819082E+017,,,,,,3.14627063133474E+017,9.23177704297801E+016,898809278955748,,,
193536,5.2748635322358E+017,,,,3.16142536089374E+017,9.29385145936539E+016,899332497073438,,,,,,
